id,features,label
1,"{""user_id"": 1001, ""item_id"": 2001, ""age"": 30, ""income"": 52208, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
2,"{""user_id"": 1002, ""item_id"": 2002, ""age"": 26, ""income"": 70364, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
3,"{""user_id"": 1003, ""item_id"": 2003, ""age"": 45, ""income"": 62627, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
4,"{""user_id"": 1004, ""item_id"": 2004, ""age"": 37, ""income"": 30000, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
5,"{""user_id"": 1005, ""item_id"": 2005, ""age"": 18, ""income"": 50755, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
6,"{""user_id"": 1006, ""item_id"": 2006, ""age"": 52, ""income"": 58043, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
7,"{""user_id"": 1007, ""item_id"": 2007, ""age"": 42, ""income"": 70002, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
8,"{""user_id"": 1008, ""item_id"": 2008, ""age"": 42, ""income"": 45623, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
9,"{""user_id"": 1009, ""item_id"": 2009, ""age"": 34, ""income"": 49477, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
10,"{""user_id"": 1010, ""item_id"": 2010, ""age"": 39, ""income"": 44390, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
11,"{""user_id"": 1011, ""item_id"": 2011, ""age"": 45, ""income"": 101778, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
12,"{""user_id"": 1012, ""item_id"": 2012, ""age"": 18, ""income"": 51720, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
13,"{""user_id"": 1013, ""item_id"": 2013, ""age"": 44, ""income"": 54082, ""cate_id"": ""103"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
14,"{""user_id"": 1014, ""item_id"": 2014, ""age"": 35, ""income"": 71995, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",0
15,"{""user_id"": 1015, ""item_id"": 2015, ""age"": 18, ""income"": 39604, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
16,"{""user_id"": 1016, ""item_id"": 2016, ""age"": 32, ""income"": 70467, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
17,"{""user_id"": 1017, ""item_id"": 2017, ""age"": 44, ""income"": 92698, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
18,"{""user_id"": 1018, ""item_id"": 2018, ""age"": 45, ""income"": 48269, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
19,"{""user_id"": 1019, ""item_id"": 2019, ""age"": 32, ""income"": 46219, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
20,"{""user_id"": 1020, ""item_id"": 2020, ""age"": 38, ""income"": 49756, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
21,"{""user_id"": 1021, ""item_id"": 2021, ""age"": 46, ""income"": 47617, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
